ID,Title,Work Item Type,State,Effort,Business Value,Value Area,Tags
2,Tema 1 - Gestión de acceso y autorización de usuarios,Epic,New,,,Business,
6,Épica 1.1 - Gestión de autenticación e identidad de usuarios,Feature,New,,,Business,
176,HU 1.1.1 Registro de usuarios,Product Backlog Item,Done,5,,Business,autenticación; backend; frontend; MVP
177,Diseñar formulario de registro,Task,Done,,,,
178,Validar datos de entrada,Task,Done,,,,
179,Encriptar datos sensibles,Task,Done,,,,
180,Persistir estudiante,Task,Done,,,,
181,HU 1.1.2 Inicio de sesión,Product Backlog Item,Done,5,,Business,backend; frontend; MVP
182,Implementar endpoint de autenticación,Task,Done,,,,
183,Validar creedenciales hasheadas,Task,Done,,,,
184,Generar token de autenticación,Task,Done,,,,
185,Redirigir al usuario según rol,Task,Done,,,,
338,Diseñar formulario de inicio de sesión,Task,Done,,,,
186,HU 1.1.3 Reestablecer contraseña,Product Backlog Item,Done,5,,Business,backend; frontend; MVP
187,Implementar endpoint para recuperación de contraseña,Task,Done,,,,
188,Generar link temporal de recuperación,Task,Done,,,,
189,Notificar al usuario,Task,Done,,,,
190,Implementar endpoint de cambiar contraseña,Task,Done,,,,
191,Validar expiración de token,Task,Done,,,,
192,Persistir en base de datos,Task,Done,,,,
339,Diseño de formulario de recuperación,Task,Done,,,,
340,Diseño de formulario de cambio de contraseña,Task,Done,,,,
7,Épica 1.2 - Gestión de roles y accesos de usuarios,Feature,New,,,Business,
193,HU 1.2.1 Asignación de roles,Product Backlog Item,Done,5,,Business,backend; frontend; MVP
194,Generar endpoint de consulta de roles existentes,Task,Done,,,,
195,Generar endpoint de asignación de rol por usuario,Task,Done,,,,
197,Persistir roles y permisos en base de datos,Task,Done,,,,
198,HU 1.2.2 Acceso y privacidad en datos,Product Backlog Item,Done,5,,Business,backend; frontend; MVP
196,Implementar CRUD para roles,Task,Done,,,,
199,Guardar token de autenticación y refresh token como cookie,Task,Done,,,,
200,Implementar control de acceso al sistema basado en roles,Task,Done,,,,
201,Implementar middleware de autorización,Task,Done,,,,
203,HU 1.2.3 Acceso a rubricas de calificación,Product Backlog Item,Done,5,,Business,backend; frontend; MVP
202,Validar permisos en cada endpoint protegido,Task,Done,,,,
204,Implementar CRUD para el acceso a las rubricas de evaluación con control de acceso solo para rol de docente,Task,Done,,,,
205,Notificar al administrador cuando una rubrica desee ser dada de baja,Task,Done,,,,
